Albany,United States,North America,42.40,-73.45
Albuquerque,United States,North America,35.05,-106.39
Amarillo,United States,North America,35.11,-101.50
Anchorage,United States,North America,61.13,-149.54
Atlanta,United States,North America,33.45,-84.23
Austin,United States,North America,30.16,-97.44
Baker,United States,North America,44.47,-117.50
Baltimore,United States,North America,39.18,-76.38
Bangor,United States,North America,44.48,-68.47
Birmingham,United States,North America,33.30,-86.50
Bismarck,United States,North America,46.48,-100.47
Boise,United States,North America,43.36,-116.13
Boston,United States,North America,42.21,-71.5
Buffalo,United States,North America,42.55,-78.50
Calgary,Canada,North America,51.1,-114.1
Carlsbad,United States,North America,32.26,-104.15
Charleston,United States,North America,32.47,-79.56
Charleston,United States,North America,38.21,-81.38
Charlotte,United States,North America,35.14,-80.50
Cheyenne,United States,North America,41.9,-104.52
Chicago,United States,North America,41.50,-87.37
Cincinnati,United States,North America,39.8,-84.30
Cleveland,United States,North America,41.28,-81.37
Columbia,United States,North America,34.0,-81.2
Columbus,United States,North America,40.0,-83.1
Dallas,United States,North America,32.46,-96.46
Denver,United States,North America,39.45,-105.0
Des Moines,United States,North America,41.35,-93.37
Detroit,United States,North America,42.20,-83.3
Dubuque,United States,North America,42.31,-90.40
Duluth,United States,North America,46.49,-92.5
Eastport,United States,North America,44.54,-67.0
Edmonton,Canada,North America,53.34,-113.28
El Centro,United States,North America,32.38,-115.33
El Paso,United States,North America,31.46,-106.29
Eugene,United States,North America,44.3,-123.5
Fargo,United States,North America,46.52,-96.48
Flagstaff,United States,North America,35.13,-111.41
Fort Worth,United States,North America,32.43,-97.19
Fresno,United States,North America,36.44,-119.48
Grand Junction,United States,North America,39.5,-108.33
Grand Rapids,United States,North America,42.58,-85.40
Havre,United States,North America,48.33,-109.43
Helena,United States,North America,46.35,-112.2
Honolulu,United States,North America,21.18,-157.50
Hot Springs,United States,North America,34.31,-93.3
Houston,United States,North America,29.45,-95.21
Idaho Falls,United States,North America,43.30,-112.1
Indianapolis,United States,North America,39.46,-86.10
Jackson,United States,North America,32.20,-90.12
Jacksonville,United States,North America,30.22,-81.40
Juneau,United States,North America,58.18,-134.24
Kansas City,United States,North America,39.6,-94.35
Key West,United States,North America,24.33,-81.48
Kingston,Canada,North America,44.15,-76.30
Klamath Falls,United States,North America,42.10,-121.44
Knoxville,United States,North America,35.57,-83.56
Las Vegas,United States,North America,36.10,-115.12
Lewiston,United States,North America,46.24,-117.2
Lincoln,United States,North America,40.50,-96.40
London,Canada,North America,43.2,-81.34
Long Beach,United States,North America,33.46,-118.11
Los Angeles,United States,North America,34.3,-118.15
Louisville,United States,North America,38.15,-85.46
Manchester,United States,North America,43.0,-71.30
Memphis,United States,North America,35.9,-90.3
Miami,United States,North America,25.46,-80.12
Milwaukee,United States,North America,43.2,-87.55
Minneapolis,United States,North America,44.59,-93.14
Mobile,United States,North America,30.42,-88.3
Montgomery,United States,North America,32.21,-86.18
Montpelier,United States,North America,44.15,-72.32
Montreal,Canada,North America,45.30,-73.35
Moose Jaw,Canada,North America,50.37,-105.31
Nashville,United States,North America,36.10,-86.47
Nelson,Canada,North America,49.30,-117.17
Newark,United States,North America,40.44,-74.10
New Haven,United States,North America,41.19,-72.55
New Orleans,United States,North America,29.57,-90.4
New York,United States,North America,40.47,-73.58
Nome,United States,North America,64.25,-165.30
Oakland,United States,North America,37.48,-122.16
Oklahoma City,United States,North America,35.26,-97.28
Omaha,United States,North America,41.15,-95.56
Ottawa,Canada,North America,45.24,-75.43
Philadelphia,United States,North America,39.57,-75.10
Phoenix,United States,North America,33.29,-112.4
Pierre,United States,North America,44.22,-100.21
Pittsburgh,United States,North America,40.27,-79.57
Portland,United States,North America,43.40,-70.15
Portland,United States,North America,45.31,-122.41
Providence,United States,North America,41.50,-71.24
Quebec,Canada,North America,46.49,-71.11
Raleigh,United States,North America,35.46,-78.39
Reno,United States,North America,39.30,-119.49
Richfield,United States,North America,38.46,-112.5
Richmond,United States,North America,37.33,-77.29
Roanoke,United States,North America,37.17,-79.57
Sacramento,United States,North America,38.35,-121.30
St. John,Canada,North America,45.18,-66.10
St. Louis,United States,North America,38.35,-90.12
Salt Lake City,United States,North America,40.46,-111.54
San Antonio,United States,North America,29.23,-98.33
San Diego,United States,North America,32.42,-117.10
San Francisco,United States,North America,37.47,-122.26
San Jose,United States,North America,37.20,-121.53
San Juan,United States,North America,18.30,-66.10
Santa Fe,United States,North America,35.41,-105.57
Savannah,United States,North America,32.5,-81.5
Seattle,United States,North America,47.37,-122.20
Shreveport,United States,North America,32.28,-93.42
Sioux Falls,United States,North America,43.33,-96.44
Sitka,United States,North America,57.10,-135.15
Spokane,United States,North America,47.40,-117.26
Springfield,United States,North America,39.48,-89.38
Springfield,United States,North America,42.6,-72.34
Springfield,United States,North America,37.13,-93.17
Syracuse,United States,North America,43.2,-76.8
Tampa,United States,North America,27.57,-82.27
Toledo,United States,North America,41.39,-83.33
Toronto,Canada,North America,43.40,-79.24
Tulsa,United States,North America,36.09,-95.59
Vancouver,Canada,North America,49.13,-123.06
Victoria,Canada,North America,48.25,-123.21
Virginia Beach,United States,North America,36.51,-75.58
Washington,United States,North America,38.53,-77.02
Wichita,United States,North America,37.43,-97.17
Wilmington,United States,North America,34.14,-77.57
Winnipeg,Canada,North America,49.54,97.7